MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,0005;00:16;00:05;20000;161,5466;0,2832436;0,7533137;334
0,0004;00:16;00:05;20000;161,5466;0,2884411;0,7750182;423
0,0003;00:15;00:06;20000;161,5466;0,2944337;0,7979459;572
0,0002;00:25;00:14;20000;161,5466;0,301526;0,8276063;872
0,0001;00:33;00:53;20000;161,5466;0,3109183;0,8700128;1797
5E-05;00:15;00:29;20000;161,5466;0,31757;0,9018605;3721
4E-05;00:24;00:24;20000;161,5466;0,3191088;0,9096824;4737
3E-05;00:15;00:17;20000;161,5466;0,3208418;0,9201061;6533
2E-05;00:17;00:22;20000;161,5466;0,322904;0,9317185;10592
1E-05;00:16;01:10;20000;161,5466;0,3255932;0,9488004;28623
