MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,05;0,1;01:27;00:03;20000;161,5466;0,1016254;0,2361596;59
0,05;0,05;01:24;00:04;20000;161,5466;0,1016254;0,2366776;87
0,05;0,01;01:24;00:04;20000;161,5466;0,1016254;0,2366967;89
0,05;0,005;01:25;00:03;20000;161,5466;0,1016254;0,2366967;89
0,05;0,001;01:25;00:04;20000;161,5466;0,1016254;0,2366967;89
0,01;0,1;02:07;00:05;20000;161,5466;0,1369324;0,3383571;123
0,01;0,05;02:07;00:09;20000;161,5466;0,150974;0,3756848;387
0,01;0,01;02:07;00:17;20000;161,5466;0,1615685;0,4020114;2816
0,01;0,005;02:08;00:17;20000;161,5466;0,1615685;0,4020114;2973
0,01;0,001;02:06;00:18;20000;161,5466;0,1615685;0,4020114;3004
0,005;0,1;02:44;00:05;20000;161,5466;0,1482886;0,390247;191
0,005;0,05;02:46;00:09;20000;161,5466;0,1654114;0,4335229;515
0,005;0,01;02:46;00:38;20000;161,5466;0,1910705;0,4962587;8912
0,005;0,005;02:45;00:43;20000;161,5466;0,1910705;0,4964174;13295
0,005;0,001;02:46;00:44;20000;161,5466;0,1910705;0,4964209;14660
