MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb;DbEntryCount
0,001;0,3;01:10;00:04;20000;161,5466;0,2368896;0;149;955
0,001;0,25;01:09;00:05;20000;161,5466;0,2598054;0;174;1087
0,001;0,2;01:09;00:06;20000;161,5466;0,2735215;0;209;1264
0,001;0,15;01:09;00:08;20000;161,5466;0,2886363;0;258;1480
0,001;0,1;01:09;00:13;20000;161,5466;0,3058856;0;347;1746
0,001;0,05;01:09;00:25;20000;161,5466;0,326795;0;636;2122
0,001;0,04;01:09;00:32;20000;161,5466;0,3328964;0;819;2211
0,001;0,03;01:09;00:44;20000;161,5466;0,3396749;0;1202;2296
0,001;0,02;01:09;01:10;20000;161,5466;0,3487073;0;2266;2347
0,001;0,015;01:13;01:46;20000;161,5466;0,3543712;0;3809;2353
0,001;0,01;01:12;02:47;20000;161,5466;0,3608359;0;8507;2353
0,001;0,009;01:14;03:07;20000;161,5466;0,3620477;0;10535;2353
0,001;0,008;01:15;03:28;20000;161,5466;0,3631493;0;13334;2353
0,001;0,007;01:13;03:55;20000;161,5466;0,3642094;0;17207;2353
0,001;0,006;01:14;04:29;20000;161,5466;0,3652305;0;22514;2353
0,001;0,0055;01:23;05:05;20000;161,5466;0,3655777;0;25805;2353
0,001;0,005;01:23;05:12;20000;161,5466;0,365891;0;29543;2353
