MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;05:09;00:05;20000;161,5466;0,2519196;0;322;1863;4183
0,001;0,25;04:59;00:07;20000;161,5466;0,2745948;0;389;2204;5341
0,001;0,2;04:50;00:09;20000;161,5466;0,2908069;0;494;2701;7402
0,001;0,15;04:48;00:12;20000;161,5466;0,3044192;0;647;3343;10979
0,001;0,1;04:51;00:19;20000;161,5466;0,3207097;0;923;4156;19412
0,001;0,05;04:46;00:43;20000;161,5466;0,3419782;0;1748;5171;52473
0,001;0,04;04:41;00:56;20000;161,5466;0,3483217;0;2229;5363;73801
0,001;0,03;04:40;01:22;20000;161,5466;0,3558434;0;3226;5528;119325
0,001;0,02;04:59;02:16;20000;161,5466;0,3658296;0;6069;5598;251263
0,001;0,015;04:44;03:13;20000;161,5466;0,3719102;0;10487;5603;456802
0,001;0,01;04:40;05:37;20000;161,5466;0,3784612;0;25957;5603;1176814
0,001;0,009;04:37;06:34;20000;161,5466;0,3796264;0;33256;5603;1516508
0,001;0,008;04:47;07:28;20000;161,5466;0,3807713;0;43792;5603;2006857
0,001;0,007;04:51;09:06;20000;161,5466;0,381733;0;58843;5603;2707345
0,001;0,006;05:21;10:47;20000;161,5466;0,3826106;0;79610;5603;3673829
0,001;0,0055;05:06;10:06;20000;161,5466;0,3828326;0;92505;5603;4273973
0,001;0,005;04:43;10:53;20000;161,5466;0,3830734;0;107058;5603;4951322
