DbFileName;LoadTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage
db-0.dat;00:00;00:03;20000;147,9342;0,2098625;0
db-1.dat;00:00;00:03;20000;147,9342;0,2266604;0
db-2.dat;00:00;00:04;20000;147,9342;0,2401682;0
db-3.dat;00:00;00:06;20000;147,9342;0,2569869;0
db-4.dat;00:00;00:10;20000;147,9342;0,2737796;0
db-5.dat;00:00;00:26;20000;147,9342;0,295697;0
db-6.dat;00:00;00:34;20000;147,9342;0,3032947;0
db-7.dat;00:00;00:50;20000;147,9342;0,31041;0
db-8.dat;00:01;01:23;20000;147,9342;0,3179637;0
db-9.dat;00:02;02:00;20000;147,9342;0,321189;0
db-10.dat;00:16;03:22;20000;147,9342;0,3245837;0
db-11.dat;00:28;03:52;20000;147,9342;0,3252082;0
db-12.dat;00:50;04:25;20000;147,9342;0,3259501;0
db-13.dat;01:35;05:04;20000;147,9342;0,3264103;0
db-14.dat;03:01;05:57;20000;147,9342;0,3270811;0
db-15.dat;04:14;06:26;20000;147,9342;0,3272398;0
db-16.dat;06:10;06:53;20000;147,9342;0,3273832;0
