RareWordFreq;SeqThreshold;TrainTime;LookupWords;LookupSeq;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;0,005;00:15;5;5;00:08;20000;165,9028;65,9917;0,7054799;86
0,15;0,005;00:15;10;10;00:09;20000;165,9028;71,1886;0,7129511;86
0,15;0,005;00:15;15;15;00:10;20000;165,9028;74,62435;0,722836;86
0,15;0,005;00:15;20;20;00:11;20000;165,9028;75,3625;0,7167777;86
0,15;0,005;00:15;25;25;00:12;20000;165,9028;77,17095;0,7242382;86
0,15;0,005;00:15;30;30;00:13;20000;165,9028;78,4805;0,728978;86
0,15;0,005;00:15;35;35;00:15;20000;165,9028;79,844;0,734913;86
0,15;0,005;00:15;40;40;00:16;20000;165,9028;81,1103;0,7402925;86
0,15;0,005;00:15;45;45;00:17;20000;165,9028;82,24035;0,74611;86
0,15;0,005;00:15;50;50;00:17;20000;165,9028;83,361;0,7523018;86
0,1;0,005;00:15;5;5;00:13;20000;165,9028;69,9533;0,7597597;139
0,1;0,005;00:15;10;10;00:13;20000;165,9028;75,55;0,7663029;139
0,1;0,005;00:15;15;15;00:14;20000;165,9028;79,262;0,7765678;139
0,1;0,005;00:15;20;20;00:15;20000;165,9028;79,80705;0,767432;139
0,1;0,005;00:15;25;25;00:16;20000;165,9028;81,71705;0,7745066;139
0,1;0,005;00:15;30;30;00:17;20000;165,9028;83,1176;0,7791872;139
0,1;0,005;00:15;35;35;00:19;20000;165,9028;84,6055;0,7855788;139
0,1;0,005;00:15;40;40;00:21;20000;165,9028;85,9222;0,791067;139
0,1;0,005;00:15;45;45;00:20;20000;165,9028;87,1295;0,7971625;139
0,1;0,005;00:15;50;50;00:21;20000;165,9028;88,3321;0,8035867;139
0,05;0,005;00:15;5;5;00:25;20000;165,9028;73,5488;0,8102464;274
0,05;0,005;00:15;10;10;00:22;20000;165,9028;79,51315;0,8159152;274
0,05;0,005;00:15;15;15;00:23;20000;165,9028;83,39235;0,8253701;274
0,05;0,005;00:15;20;20;00:23;20000;165,9028;83,69965;0,8123983;274
0,05;0,005;00:15;25;25;00:27;20000;165,9028;85,6393;0,8190387;274
0,05;0,005;00:15;30;30;00:25;20000;165,9028;87,0755;0,8235348;274
0,05;0,005;00:15;35;35;00:26;20000;165,9028;88,6187;0,8300251;274
0,05;0,005;00:15;40;40;00:27;20000;165,9028;90,029;0,8359808;274
0,05;0,005;00:15;45;45;00:28;20000;165,9028;91,3422;0,8427585;274
0,05;0,005;00:15;50;50;00:29;20000;165,9028;92,624;0,8494925;274
0;0,005;00:15;5;5;02:26;20000;165,9028;76,4455;0,8551946;2123
0;0,005;00:15;10;10;01:48;20000;165,9028;82,78465;0,8598125;2123
0;0,005;00:15;15;15;01:33;20000;165,9028;86,8144;0,8684339;2123
0;0,005;00:15;20;20;01:19;20000;165,9028;86,92755;0,8511621;2123
0;0,005;00:15;25;25;01:09;20000;165,9028;88,8483;0,8566662;2123
0;0,005;00:15;30;30;01:07;20000;165,9028;90,2663;0,8601921;2123
0;0,005;00:15;35;35;01:07;20000;165,9028;91,88385;0,867061;2123
0;0,005;00:15;40;40;01:02;20000;165,9028;93,254;0,8721424;2123
0;0,005;00:15;45;45;01:04;20000;165,9028;94,54985;0,8782852;2123
0;0,005;00:15;50;50;01:04;20000;165,9028;95,8889;0,8853019;2123
